Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,J Daily,FSI US,FSI Vol
2013-01-02,163.49,163.16,-0.0020205119379635337,4.082468491453155e-06,4.082468491453155e-06,5.555516327902599e-12,4.082468491453155e-06,-1.128,-1.593
2013-01-03,162.48,161.23,-0.007723000296480861,5.9644733579443474e-05,5.9644733579443474e-05,1.1858314145875973e-09,5.9644733579443474e-05,-1.15,-1.632
2013-01-04,159.52,160.45,0.005813061342337636,3.379168216978024e-05,3.379168216978024e-05,3.8062592795448127e-10,3.379168216978024e-05,-1.168,-1.636
2013-01-07,159.35,159.44,0.0005646350411938309,3.188127297439591e-07,3.188127297439591e-07,3.3880518882264893e-14,3.188127297439591e-07,-1.196,-1.694
2013-01-08,160.44,160.56,0.0007476635862306695,5.590008381753057e-07,5.590008381753057e-07,1.0416064569356476e-13,5.590008381753057e-07,-1.194,-1.764
2013-01-09,160.77,160.49,-0.0017431368418037944,3.0385260492537064e-06,3.0385260492537064e-06,3.077546850664446e-12,3.0385260492537064e-06,-1.176,-1.772
2013-01-10,161.61,162.0,0.002410309871831906,5.809593678250339e-06,5.809593678250339e-06,1.1250459568788768e-11,5.809593678250339e-06,-1.214,-1.741
2013-01-11,161.85,161.06,-0.004893014004854477,2.394158605170205e-05,2.394158605170205e-05,1.9106651422368472e-10,2.394158605170205e-05,-1.198,-1.676
2013-01-14,161.88,161.54,-0.0021025299935145845,4.420632373628439e-06,4.420632373628439e-06,6.513996860923935e-12,4.420632373628439e-06,-1.21,-1.696
2013-01-15,162.8,162.54,-0.001598328243381284,2.5546531735903012e-06,2.5546531735903012e-06,2.1754176124449992e-12,2.5546531735903012e-06,-1.204,-1.671
2013-01-16,162.42,162.63,0.0012921090860918284,1.66954589036106e-06,1.66954589036106e-06,9.291278266738348e-13,1.66954589036106e-06,-1.2,-1.669
2013-01-17,161.94,163.35,0.008669241789110823,7.515575319806542e-05,7.515575319806542e-05,1.8827957462561736e-09,7.515575319806542e-05,-1.163,-1.537
2013-01-18,163.95,163.08,-0.005320625339604483,2.8309054004441323e-05,2.8309054004441323e-05,2.671341795421251e-10,2.8309054004441323e-05,-1.182,-1.521
2013-01-22,163.48,163.67,0.001161546821715974,1.3491910190384806e-06,1.3491910190384806e-06,6.067721352846979e-13,1.3491910190384806e-06,-1.244,-1.655
2013-01-23,163.92,163.22,-0.004279519889547485,1.8314290485032517e-05,1.8314290485032517e-05,1.1180441199005088e-10,1.8314290485032517e-05,-1.273,-1.758
2013-01-24,161.98,161.42,-0.003463206924617591,1.1993802202719234e-05,1.1993802202719234e-05,4.7950430425984247e-11,1.1993802202719234e-05,-1.243,-1.676
2013-01-25,160.56,160.65,0.0005603810737846829,3.140269478560742e-07,3.140269478560742e-07,3.287097465993385e-14,3.140269478560742e-07,-1.239,-1.552
2013-01-28,160.24,160.28,0.0002495944103810084,6.229736969344322e-08,6.229736969344322e-08,1.2936540902405127e-15,6.229736969344322e-08,-1.223,-1.436
2013-01-29,161.01,160.99,-0.00012422360264414218,1.5431503453889728e-08,1.5431503453889728e-08,7.937709961580354e-17,1.5431503453889728e-08,-1.268,-1.539
2013-01-30,162.68,162.19,-0.003016593539425679,9.099836582104747e-06,9.099836582104747e-06,2.7602341940337267e-11,9.099836582104747e-06,-1.197,-1.38
2013-01-31,161.62,161.2,-0.002602070732773733,6.7707720983576315e-06,6.7707720983576315e-06,1.5281118269299402e-11,6.7707720983576315e-06,-1.183,-1.426
2013-02-01,162.66,161.46,-0.0074046987717595976,5.4829563900498094e-05,5.4829563900498094e-05,1.0020936925062678e-09,5.4829563900498094e-05,-1.246,-1.471
2013-02-04,161.19,161.98,0.004889077412004034,2.390307794056806e-05,2.390307794056806e-05,1.9045237834429045e-10,2.390307794056806e-05,-1.103,-1.3
2013-02-05,162.75,161.97,-0.00480414819037337,2.3079839835067728e-05,2.3079839835067728e-05,1.7755966893745968e-10,2.3079839835067728e-05,-1.128,-1.296
2013-02-06,162.13,162.39,0.0016023669150183025,2.567579730345272e-06,2.567579730345272e-06,2.197488557226633e-12,2.567579730345272e-06,-1.129,-1.231
2013-02-07,161.23,161.84,0.003776275883841789,1.4260259550885086e-05,1.4260259550885086e-05,6.778500081953643e-11,1.4260259550885086e-05,-1.132,-1.253
2013-02-08,161.46,161.57,0.0006810513218694898,4.6383090302017943e-07,4.6383090302017943e-07,7.171303553217171e-14,4.6383090302017943e-07,-1.169,-1.311
2013-02-11,159.78,159.71,-0.000438198385677834,1.9201782521065976e-07,1.9201782521065976e-07,1.229028173287716e-14,1.9201782521065976e-07,-1.168,-1.302
2013-02-12,159.35,159.87,0.00325794411345531,1.0614199846398104e-05,1.0614199846398104e-05,3.755374612642585e-11,1.0614199846398104e-05,-1.201,-1.321
2013-02-13,159.59,159.03,-0.0035151627432706604,1.2356369111678114e-05,1.2356369111678114e-05,5.089328587467766e-11,1.2356369111678114e-05,-1.233,-1.343
2013-02-14,159.31,158.32,-0.0062336882904932885,3.8858869703033135e-05,3.8858869703033135e-05,5.033372515324355e-10,3.8858869703033135e-05,-1.241,-1.387
2013-02-15,156.42,155.76,-0.004228336109521064,1.787882625507973e-05,1.787882625507973e-05,1.0655080941977607e-10,1.787882625507973e-05,-1.241,-1.375
2013-02-19,155.78,155.35,-0.0027641196527461113,7.640357454697282e-06,7.640357454697282e-06,1.945835401184945e-11,7.640357454697282e-06,-1.306,-1.386
2013-02-20,153.9,151.43,-0.016179568876269416,0.000261778449021946,0.000261778449021946,2.2842652124111856e-08,0.000261778449021946,-1.192,-1.264
2013-02-21,151.99,152.62,0.004136442653117191,1.7110157822527186e-05,1.7110157822527186e-05,9.75858335705961e-11,1.7110157822527186e-05,-1.131,-1.15
2013-02-22,152.26,152.97,0.004652237857107544,2.1643317079104593e-05,2.1643317079104593e-05,1.561443913955535e-10,2.1643317079104593e-05,-1.172,-1.219
2013-02-25,153.52,154.32,0.005197516898028998,2.7014181905296974e-05,2.7014181905296974e-05,2.432553413374915e-10,2.7014181905296974e-05,-0.938,-0.993
2013-02-26,154.39,156.21,0.01171938718908236,0.00013734403608762775,0.00013734403608762775,6.287794749613198e-09,0.00013734403608762775,-0.987,-0.894
2013-02-27,155.46,154.57,-0.005741395637846448,3.2963623870282226e-05,3.2963623870282226e-05,3.6220016622048003e-10,3.2963623870282226e-05,-1.11,-1.071
2013-02-28,154.09,152.95,-0.00742577669684965,5.5142159551475305e-05,5.5142159551475305e-05,1.0135525866667864e-09,5.5142159551475305e-05,-1.097,-1.161
2013-03-01,153.1599,152.46,-0.004580207136765322,2.097829741567599e-05,2.097829741567599e-05,1.4669632082018602e-10,2.097829741567599e-05,-1.091,-1.169
2013-03-04,152.45,152.31,-0.0009187558068510341,8.441122326224946e-07,8.441122326224946e-07,2.3750848708764415e-13,8.441122326224946e-07,-1.152,-1.24
2013-03-05,153.1,152.4,-0.004582659411092128,2.1000767278071254e-05,2.1000767278071254e-05,1.4701074208923608e-10,2.1000767278071254e-05,-1.235,-1.364
2013-03-06,152.17,153.23,0.006941743658061651,4.818780501423916e-05,4.818780501423916e-05,7.740215173634441e-10,4.818780501423916e-05,-1.239,-1.369
2013-03-07,153.02,152.69,-0.002158909608285609,4.6608906967479215e-06,4.6608906967479215e-06,7.241300695677109e-12,4.6608906967479215e-06,-1.268,-1.418
2013-03-08,151.61,152.71,0.007229263871599791,5.2262256125218e-05,5.2262256125218e-05,9.104478050992955e-10,5.2262256125218e-05,-1.295,-1.455
2013-03-11,152.82,153.0,0.0011771631730148311,1.3857131359023453e-06,1.3857131359023453e-06,6.400669650041039e-13,1.3857131359023453e-06,-1.36,-1.508
2013-03-12,154.07,154.18,0.0007137064374325554,5.0937687883267e-07,5.0937687883267e-07,8.648826822977089e-14,5.0937687883267e-07,-1.335,-1.531
2013-03-13,154.26,153.68,-0.003766972045551836,1.4190078391968985e-05,1.4190078391968984e-05,6.711944159007502e-11,1.4190078391968984e-05,-1.342,-1.557
2013-03-14,153.02,153.69,0.004368954815514699,1.9087766180009074e-05,1.9087766180009074e-05,1.2144760591423275e-10,1.9087766180009074e-05,-1.374,-1.628
2013-03-15,154.12,153.99,-0.000843854517635314,7.120904469335283e-07,7.120904469335283e-07,1.6902426820466408e-13,7.120904469335283e-07,-1.372,-1.655
2013-03-18,155.71,155.36,-0.0022502983103184944,5.063842485422271e-06,5.063842485422271e-06,8.547500239055868e-12,5.063842485422271e-06,-1.232,-1.408
2013-03-19,155.23,156.07,0.005396736516110178,2.9124765024317022e-05,2.9124765024317022e-05,2.827506459072267e-10,2.9124765024317022e-05,-1.092,-1.23
2013-03-20,155.53,155.38,-0.0009649095341940405,9.310504091785601e-07,9.310504091785601e-07,2.889516214771881e-13,9.310504091785601e-07,-1.21,-1.371
2013-03-21,156.17,156.21,0.0002560983431630652,6.55863613708671e-08,6.55863613708671e-08,1.4338569326233228e-15,6.55863613708671e-08,-1.123,-1.268
2013-03-22,155.47,155.55,0.0005144363819968092,2.6464479112196706e-07,2.6464479112196706e-07,2.3345621822663187e-14,2.6464479112196706e-07,-1.141,-1.145
2013-03-25,154.71,155.24,0.0034199097697282777,1.1695782833082921e-05,1.1695782833082921e-05,4.559711202621239e-11,1.1695782833082921e-05,-1.153,-1.246
2013-03-26,154.47,154.72,0.0016171289788246184,2.615106134154353e-06,2.615106134154353e-06,2.2795933642972416e-12,2.615106134154353e-06,-1.196,-1.299
2013-03-27,154.67,155.36,0.004451189492966576,1.9813087902296043e-05,1.9813087902296043e-05,1.308528174080366e-10,1.9813087902296043e-05,-1.144,-1.269
2013-03-28,154.5,154.45,-0.0003236769732094918,1.0476678298605807e-07,1.0476678298605807e-07,3.6586929390825956e-15,1.0476678298605807e-07,-1.2,-1.345
2013-04-01,154.57,154.67,0.0006467468858211389,4.182815343193413e-07,4.182815343193413e-07,5.831981398418076e-14,4.182815343193413e-07,-1.12,-1.305
2013-04-02,153.09,152.44,-0.004254907738330363,1.81042398617036e-05,1.81042398617036e-05,1.0925450032336588e-10,1.81042398617036e-05,-1.2,-1.37
2013-04-03,152.02,150.73,-0.008521934315456637,7.262336447695738e-05,7.262336447695738e-05,1.758051022650998e-09,7.262336447695738e-05,-1.115,-1.293
2013-04-04,149.67,150.26,0.0039342563999588565,1.5478373420617222e-05,1.5478373420617222e-05,7.98600145826899e-11,1.5478373420617222e-05,-1.128,-1.329
2013-04-05,151.54,152.8,0.008280260229192813,6.856270946315222e-05,6.856270946315222e-05,1.566948376309541e-09,6.856270946315222e-05,-1.108,-1.231
2013-04-08,152.41,152.17,-0.0015759409657351215,2.4835899274821475e-06,2.4835899274821475e-06,2.0560729759635926e-12,2.4835899274821475e-06,-1.125,-1.162
2013-04-09,152.31,153.34,0.0067397605033358,4.5424371642325235e-05,4.5424371642325235e-05,6.877911797000271e-10,4.5424371642325235e-05,-1.176,-1.224
2013-04-10,152.68,150.77,-0.01258873108620177,0.0001584761503607028,0.0001584761503607028,8.371563411049361e-09,0.0001584761503607028,-1.235,-1.278
2013-04-11,150.76,151.03,0.0017893241793155454,3.20168101868325e-06,3.20168101868325e-06,3.416920448465538e-12,3.20168101868325e-06,-1.259,-1.288
2013-04-12,148.63,143.92,-0.032202406518525996,0.0010369949855844056,0.0010369949855844056,3.5845286670906717e-07,0.0010369949855844056,-1.239,-1.293
2013-04-15,136.0,131.32,-0.0350177931026601,0.0012262458337807093,0.0012262458337807093,5.012262816215157e-07,0.0012262458337807093,-1.01,-1.112
2013-04-16,134.87,132.82,-0.015316523416198715,0.00023459588955896353,0.00023459588955896353,1.8345077132653808e-08,0.00023459588955896353,-1.177,-1.229
2013-04-17,133.81,132.83,-0.0073507681724853885,5.403379272562418e-05,5.403379272562418e-05,9.732169187719054e-10,5.403379272562418e-05,-1.031,-1.104
2013-04-18,134.11,134.35,0.0017879763386513153,3.196859387576963e-06,3.196859387576963e-06,3.406636647979651e-12,3.196859387576963e-06,-0.98,-1.063
2013-04-19,135.99,135.47,-0.0038311400282226506,1.4677633915849851e-05,1.4677633915849851e-05,7.181097912256862e-11,1.4677633915849851e-05,-1.085,-1.204
2013-04-22,138.15,137.88,-0.0019563097207609425,3.827147723543757e-06,3.827147723543757e-06,4.882353232608721e-12,3.827147723543757e-06,-1.115,-1.216
2013-04-23,137.22,136.84,-0.002773117153340824,7.690178746153115e-06,7.690178746153115e-06,1.9712949715928363e-11,7.690178746153115e-06,-1.179,-1.309
2013-04-24,138.08,138.36,0.002025756733850158,4.103690344739259e-06,4.103690344739259e-06,5.61342481516874e-12,4.103690344739259e-06,-1.191,-1.328
2013-04-25,140.0,141.63,0.011575600617000692,0.0001339945296443068,0.0001339945296443068,5.9848446581996714e-09,0.0001339945296443068,-1.217,-1.364
2013-04-26,142.32,140.91,-0.009956654650566247,9.913497183064248e-05,9.913497183064248e-05,3.275914213287426e-09,9.913497183064248e-05,-1.207,-1.386
2013-04-29,142.1353,142.1353,0.0,0.0,0.0,0.0,0.0,-1.248,-1.403
2013-04-30,142.27,142.77,0.00350828313805321,1.230805057674848e-05,1.230805057674848e-05,5.049603633326618e-11,1.230805057674848e-05,-1.273,-1.437
2013-05-01,140.59,141.11,0.0036918749778534223,1.3629940852100207e-05,1.3629940852100207e-05,6.192509587725004e-11,1.3629940852100207e-05,-1.227,-1.436
2013-05-02,142.01,141.92,-0.0006339590956523554,4.0190413496035233e-07,4.0190413496035233e-07,5.3842311232743036e-14,4.0190413496035233e-07,-1.253,-1.467
2013-05-03,141.71,142.09,0.0026779438132048697,7.171383066682238e-06,7.171383066682238e-06,1.714291169636558e-11,7.171383066682238e-06,-1.354,-1.508
